CONTRACT_ACTION,CONTRACT_WORKFLOW_TYPE,VARIATION,CONTRACT_STATUS,PROJECT_STATUS,USER_ROLES,PERMISSIONS
REVERT_TO_PENDING,SIGNED_TO_AUTHORISE_PAYMENTS,No,Signed,Active,ROLE_OPS_ADMIN | ROLE_GLA_ORG_ADMIN | ROLE_GLA_SPM | ROLE_GLA_PM,ANY
REVERT_TO_PENDING,SIGNED_TO_AUTHORISE_PAYMENTS,No,NotRequired,Active,ROLE_OPS_ADMIN | ROLE_GLA_ORG_ADMIN | ROLE_GLA_SPM | ROLE_GLA_PM,ANY
MARK_AS_SIGNED,SIGNED_TO_AUTHORISE_PAYMENTS,No,Blank,Active,ROLE_OPS_ADMIN | ROLE_GLA_ORG_ADMIN | ROLE_GLA_SPM | ROLE_GLA_PM,ANY
MARK_AS_NOT_REQUIRED,SIGNED_TO_AUTHORISE_PAYMENTS,No,Blank,Active,ROLE_OPS_ADMIN | ROLE_GLA_ORG_ADMIN | ROLE_GLA_SPM | ROLE_GLA_PM,ANY
MAKE_OFFER,CONTRACT_OFFER_AND_ACCEPTANCE,No,PendingOffer,Assess,ROLE_OPS_ADMIN | ROLE_GLA_ORG_ADMIN | ROLE_GLA_SPM | ROLE_GLA_PM,ANY
MAKE_OFFER,CONTRACT_OFFER_AND_ACCEPTANCE,No,PendingOffer,Active,ROLE_OPS_ADMIN | ROLE_GLA_ORG_ADMIN | ROLE_GLA_SPM | ROLE_GLA_PM,ANY
MAKE_OFFER,CONTRACT_OFFER_AND_ACCEPTANCE,Yes,PendingOffer,Assess,ROLE_OPS_ADMIN | ROLE_GLA_ORG_ADMIN | ROLE_GLA_SPM | ROLE_GLA_PM,ANY
MAKE_OFFER,CONTRACT_OFFER_AND_ACCEPTANCE,Yes,PendingOffer,Active,ROLE_OPS_ADMIN | ROLE_GLA_ORG_ADMIN | ROLE_GLA_SPM | ROLE_GLA_PM,ANY
WITHDRAW_OFFER,CONTRACT_OFFER_AND_ACCEPTANCE,No,Offered,ANY,ROLE_OPS_ADMIN | ROLE_GLA_ORG_ADMIN | ROLE_GLA_SPM | ROLE_GLA_PM,ANY,ANY
WITHDRAW_OFFER,CONTRACT_OFFER_AND_ACCEPTANCE,Yes,Offered,ANY,ROLE_OPS_ADMIN | ROLE_GLA_ORG_ADMIN | ROLE_GLA_SPM | ROLE_GLA_PM,ANY,ANY
ACCEPT_OFFER,CONTRACT_OFFER_AND_ACCEPTANCE,No,Offered,ANY,ROLE_PROJECT_READER | ROLE_PROJECT_EDITOR | ROLE_ORG_ADMIN,ANY
ACCEPT_OFFER,CONTRACT_OFFER_AND_ACCEPTANCE,Yes,Offered,ANY,ROLE_PROJECT_READER | ROLE_PROJECT_EDITOR | ROLE_ORG_ADMIN,ANY
VIEW_DETAILS,CONTRACT_OFFER_AND_ACCEPTANCE,No,Accepted,ANY,ANY,ANY
VIEW_DETAILS,CONTRACT_OFFER_AND_ACCEPTANCE,Yes,Accepted,ANY,ANY,ANY
VARIATION_OFFER,CONTRACT_OFFER_AND_ACCEPTANCE,No,Accepted,ANY,ROLE_OPS_ADMIN | ROLE_GLA_ORG_ADMIN | ROLE_GLA_SPM | ROLE_GLA_PM,ANY
