"Area Lead","Team","Org.Name","Active","IMS No.","Gaps","SAP Vendor No","Entity Type","Email","Address1","Add2","Add3","Add4","Add5","Postcode","CEO Title","CEO Name","Regulated?","Viability Score","Gov. Score","ID no.","Status","notes"
,,"EXAMPLE",,"L4274",,,"Borough/RP/Private Developer","admin@acme.com",,,,,,,"Mr","Bill Oddie","Y","V1","G1",,"Pending",
"Peter Fletcher ","North West","A2 Housing Solutions","Yes","L4240",,,,"darrell.mercer@a2dominion.co.uk ","The Point","37 North Wharf Road","London",,,"W2 1BD","Mr","Darrell Mercer","N","#N/A","#N/A",,,
"Peter Fletcher ","North West","A2Dominion Homes","Yes","LH0391",,18000053,,"darrell.mercer@a2dominion.co.uk ","The Point","37 North Wharf Road","London",,,"W2 1BD","Mr","Darrell Mercer","Y","#N/A","#N/A",,,
"Peter Fletcher ","North West","A2Dominion Housing Options Limited","Yes","SL4293",,,,"darrell.mercer@a2dominion.co.uk ","The Point","37 North Wharf Road","London",,,"W2 1BD","Mr","Darrell Mercer","Y","#N/A","#N/A",,,
"Peter Fletcher ","North West","A2Dominion London Limited","Yes","LH0455",,18000053,,"darrell.mercer@a2dominion.co.uk ","The Point","37 North Wharf Road","London",,,"W2 1BD","Mr","Darrell Mercer","N","#N/A","#N/A",,,
"Peter Fletcher ","North West","A2Dominion South Limited","Yes","LH4149",,,,"darrell.mercer@a2dominion.co.uk ","The Point","37 North Wharf Road","London",,,"W2 1BD","Mr","Darrell Mercer","Y","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Ability Housing Association","Yes","LH2174",,,,"info@ability-housing.co.uk","The Coach House","Gresham Road","Staines","Middlesex",,"TW18 2AE","Mr","Jeff Skipp","Y","#N/A","#N/A",,,
"Richard Cawser","North West","Accent Corporate Services Limited","Yes","LH4322",,18000067,,"helen.evans@networkhomes.org.uk ","Olympic Office Centre","8 Fulton Road","Middlesex",,,"HA9 0NU","Ms","Helen Evans","Y","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Accent Peerless Limited","Yes","LH4002",,,,"customerservices@accentgroup.org","1 Pembroke Broadway",,,"Camberley","Surrey ","GU15 3XD","Mr","Gordon Perry","Y","#N/A","#N/A",,,
"Jonathan Goldstraw ","South","Advance Housing & Support Limited","Yes","LH0280",,,,"tim.cooper@advanceuk.com ","11 George Street","Wolverhampton",,,,"WV2 4DG","Mr","Tim Cooper","Y","V1","G1",,,
"Heather Juman / Inez Hough ","South","Affinity Sutton Group Limited","Yes","LH4087",,18000064,,"keith.exford@affinitysutton.com ","Level 6 More London Place","Tooley Street","London",,,"SE1 2DA","Mr","Keith Exford","Y","V1","G1",,,
"Heather Juman / Inez Hough ","South","Affinity Sutton Homes Limited","Yes",4673,,,,"keith.exford@affinitysutton.com ","Level 6 More London Place","Tooley Street","London",,,"SE1 2DA","Mr","Keith Exford","Y","#N/A","#N/A",,,
"Janet Trench ","North East","Agudas Israel Housing Association Limited","Yes","LH3673",,18000059,,"symons@aihaltd.co.uk ","206 Lordship Road",,"London",,,"N16 5ES","Mrs","Ita Symons","Y","#N/A","#N/A",,,
"Neil Hook","North East","Aldwyck","Yes","LH1682",,,,"info@aldwyck.co.uk","6 Houghton Hall Business Park","Porz Avenue","Houghton Regis","Bedfordshire",,"LU5 5UZ","Mr","Harj Singh","Y","V2","G3",,,
"Peter Fletcher","North West","Almshouse Consortium Ltd","Yes","NP0412",,18000132,,"Anne.Taylor@thorngate.org.uk ","10 Melrose Gardens",,,"Gosport","Hampshire","PO12 3BZ","Mrs","Anne Taylor","N","#N/A","#N/A",,,
"Jonathan Goldstraw ","South","Amicus Group Limited","No","L4216",,18000035,,"paul.hackett@amicushorizon.org.uk ","Grosvenor House","125 High Street","Croydon ",,,"CR0 9XP","Mr","Paul Hackett","Y","#N/A","#N/A",,,
"Jonathan Goldstraw ","South","AmicusHorizon Limited","Yes","L4536",,18000124,,"paul.hackett@amicushorizon.org.uk ","Grosvenor House","125 High Street","Croydon ",,,"CR0 9XP","Mr","Paul Hackett","Y","V1","G1",,,
"Elinor Savage","North East","Anchor House","Yes","NP0470",,,,"keith@caritasanchorhouse.org.uk ","81 Barking Road","London",,,,"E16 4HB","Mr","Keith Fernett","N","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","Apna Ghar","Yes","L4443",,,,"agha@apnaghar.org.uk","1 Olympic Way",,"Wembley","Middlesex",,"HA9 0NP","Mr","Jai Dosanjh ","Y","#N/A","#N/A",,,
"Rickardo Hyatt","South","Aquinas St Co-Op","Yes","C3637",,,,"linda.wallace@cds.coop","7 - 14 Great Dover Street",,,"London",,"SE1 4YR","Ms","Linda Wallace","Y","#N/A","#N/A",,,
"Peter Fletcher","North West","Arneway Housing Co-operative Limited","Yes","C3115",,,,"agha@apnaghar.org.uk","1 Olympic Way","Wembley","Harlesden",,"London","NW10 4HT","Mr","Duncan Atkins","Y","#N/A","#N/A",,,
"Heather Juman / Inez Hough ","South","ARP Charitable Services","No","H3720",,,,"info@phoenix-futures.org.uk","Phoenix Futures","3RD FLOOR ASRA HOUSE","1 LONG LANE","LONDON",,"SE1 4PG","Ms","Sue Ellenby","Y","#N/A","#N/A",,,
