Borough name,Ward name,One bedroom,Two bedrooms,Three bedrooms,Four bedrooms,Five bedrooms,Six bedrooms
City of London,City of London,1493,1659,1825,1991,2157,2322
Barking and Dagenham,Abbey,798,887,976,1064,1153,1242
Barking and Dagenham,Alibon,711,790,869,948,1027,1106
Barking and Dagenham,Becontree,912,1014,1115,1216,1318,1419
Barking and Dagenham,Chadwell Heath,711,790,869,948,1027,1106
Barking and Dagenham,Eastbrook,740,822,904,986,1068,1151
Barking and Dagenham,Eastbury,756,840,924,1008,1092,1176
Barking and Dagenham,Gascoigne,800,889,978,1067,1156,1245
Barking and Dagenham,Goresbrook,690,767,844,921,997,1074
Barking and Dagenham,Heath,682,758,834,910,985,1061
Barking and Dagenham,Longbridge,844,938,1031,1125,1219,1313
Barking and Dagenham,Mayesbrook,731,813,894,975,1057,1138
Barking and Dagenham,Parsloes,715,795,874,953,1033,1112
Barking and Dagenham,River,608,676,743,811,879,946
Barking and Dagenham,Thames,764,849,934,1019,1104,1189
Barking and Dagenham,Valence,821,912,1004,1095,1186,1277
Barking and Dagenham,Village,670,744,819,893,968,1042
Barking and Dagenham,Whalebone,752,836,919,1003,1086,1170
Barnet,Brunswick Park,785,873,960,1047,1135,1222
Barnet,Burnt Oak,670,744,819,893,968,1042
Barnet,Childs Hill,967,1074,1181,1289,1396,1504
Barnet,Colindale,814,905,995,1086,1176,1267
Barnet,Coppetts,770,856,942,1027,1113,1198
Barnet,East Barnet,716,796,875,955,1034,1114
Barnet,East Finchley,869,965,1062,1158,1255,1352
Barnet,Edgware,822,914,1005,1097,1188,1279
Barnet,Finchley Church End,981,1090,1199,1308,1417,1526
Barnet,Garden Suburb,990,1100,1210,1320,1430,1540
Barnet,Golders Green,1005,1117,1228,1340,1452,1563
Barnet,Hale,762,847,932,1016,1101,1186
Barnet,Hendon,809,898,988,1078,1168,1258
Barnet,High Barnet,751,834,918,1001,1084,1168
Barnet,Mill Hill,905,1006,1106,1207,1307,1408
Barnet,Oakleigh,759,844,928,1013,1097,1181
Barnet,Totteridge,912,1014,1115,1217,1318,1419
Barnet,Underhill,716,796,875,955,1034,1114
Barnet,West Finchley,883,981,1079,1177,1275,1373
Barnet,West Hendon,785,873,960,1047,1135,1222
Barnet,Woodhouse,841,934,1028,1121,1215,1308
Bexley,Barnehurst,857,952,1047,1142,1237,1333
Bexley,Belvedere,780,867,954,1041,1127,1214
Bexley,Blackfen and Lamorbey,794,882,970,1058,1146,1235
Bexley,Blendon and Penhill,825,917,1009,1100,1192,1284
Bexley,Brampton,870,966,1063,1160,1256,1353
Bexley,Christchurch,851,946,1040,1135,1229,1324
Bexley,Colyers,806,896,985,1075,1164,1254
Bexley,Crayford,829,921,1013,1105,1197,1289
Bexley,Cray Meadows,866,962,1058,1154,1250,1346
Bexley,Danson Park,851,946,1040,1135,1229,1324
Bexley,East Wickham,861,957,1053,1149,1244,1340
Bexley,Erith,747,830,913,996,1079,1162
Bexley,Falconwood and Welling,794,882,970,1058,1146,1235
Bexley,Lesnes Abbey,780,867,954,1041,1127,1214
Bexley,Longlands,895,994,1093,1193,1292,1392
Bexley,North End,817,908,998,1089,1180,1271
Bexley,Northumberland Heath,774,860,946,1032,1118,1204
Bexley,St Mary's,996,1107,1218,1328,1439,1550
Bexley,St Michael's,800,889,978,1067,1156,1245
Bexley,Sidcup,882,980,1078,1176,1274,1372
Bexley,Thamesmead East,664,738,812,886,959,1033
Brent,Alperton,692,769,846,923,1000,1077
Brent,Barnhill,670,744,819,893,968,1042
Brent,Brondesbury Park,874,971,1068,1165,1262,1359
Brent,Dollis Hill,708,787,866,944,1023,1102
Brent,Dudden Hill,729,810,891,972,1053,1134
Brent,Fryent,662,736,810,883,957,1030
Brent,Harlesden,708,787,866,944,1023,1102
Brent,Kensal Green,853,948,1043,1138,1233,1328
Brent,Kenton,624,693,763,832,901,971
Brent,Kilburn,869,966,1062,1159,1255,1352
Brent,Mapesbury,845,939,1033,1127,1221,1315
Brent,Northwick Park,655,727,800,873,946,1018
Brent,Preston,678,753,828,904,979,1054
Brent,Queens Park,936,1040,1144,1248,1352,1456
Brent,Queensbury,784,872,959,1046,1133,1220
Brent,Stonebridge,769,855,940,1026,1111,1197
Brent,Sudbury,642,714,785,857,928,999
Brent,Tokyngton,674,749,824,899,974,1049
Brent,Welsh Harp,636,706,777,847,918,989
Brent,Wembley Central,662,736,810,883,957,1030
Brent,Willesden Green,810,900,990,1080,1170,1260
Bromley,Bickley,1018,1131,1244,1357,1470,1583
Bromley,Biggin Hill,832,924,1016,1109,1201,1294
Bromley,Bromley Common and Keston,976,1084,1193,1301,1409,1518
Bromley,Bromley Town,1009,1121,1234,1346,1458,1570
Bromley,Chelsfield and Pratts Bottom,901,1001,1101,1201,1301,1401
Bromley,Chislehurst,1065,1183,1302,1420,1538,1657
Bromley,Clock House,965,1072,1179,1287,1394,1501
