BLOCK_ACTION,PROJECT_STATUS,PROJECT_SUB_STATUS,BLOCK_TYPE,BLOCK_STATUS,BLOCK_COMPLETION,PAYMENTS_ONLY_CYCLE,USER_ROLES,PERMISSIONS
APPROVE,Active,ApprovalRequested,ANY,UNAPPROVED,COMPLETE,ANY,ROLE_OPS_ADMIN | ROLE_GLA_ORG_ADMIN | ROLE_GLA_SPM | ROLE_GLA_PM,ANY
DELETE,Draft,ANY,ANY,UNAPPROVED,ANY,ANY,ROLE_OPS_ADMIN | ROLE_ORG_ADMIN | ROLE_PROJECT_EDITOR,proj.edit.
DELETE,Active,UnapprovedChanges,ANY,UNAPPROVED,ANY,FALSE,ROLE_OPS_ADMIN | ROLE_ORG_ADMIN | ROLE_PROJECT_EDITOR,proj.edit.
EDIT,Base,ANY,ANY,ANY,ANY,ANY,ANY,proj.edit.
EDIT,Draft,ANY,ANY,ANY,ANY,ANY,ANY,proj.edit.
EDIT,Submitted,ANY,ANY,ANY,ANY,ANY,ROLE_OPS_ADMIN,proj.edit.
EDIT,Returned,ANY,ANY,ANY,ANY,ANY,ANY,proj.edit.
EDIT,Assess,ANY,ANY,ANY,ANY,ANY,ROLE_OPS_ADMIN,proj.edit.
EDIT,Assess,ANY,Milestones,ANY,ANY,ANY,ANY,proj.milestone.conditional.create
EDIT,Active,ANY,Milestones,ANY,ANY,ANY,ANY,proj.milestone.withdraw
EDIT,Active,,ANY,UNAPPROVED,ANY,ANY,ANY,proj.edit.
EDIT,Active,,ANY,LAST_APPROVED,ANY,ANY,ANY,proj.edit.
EDIT,Active,UnapprovedChanges,ANY,UNAPPROVED,ANY,ANY,ANY,proj.edit.
EDIT,Active,UnapprovedChanges,ANY,LAST_APPROVED,ANY,ANY,ANY,proj.edit.
