CE Code,OPS Code
413010,1009
413015,1004
430000,1025
430030,1026
450000,1018
450080,1007
459995,1029
459999,1030
460010,1031
460020,1032
461021,1021
461024,1024
461025,1008
461026,1019
461027,1006
461031,1045
461040,1033
461041,1034
461043,1035
461049,1001
461052,1046
470010,1023
470020,1022
470030,1005
470034,1010
470038,20
470039,1042
470040,1020
470042,1003
470044,1043
470045,1017
470047,1002
470049,1027
489050,1044
489999,1036
490000,1012
490102,1015
490401,1037
490500,1013
490502,1014
490503,1011
490507,20
490512,1016
490515,1028
495020,1038
499990,1039
499995,1040
499998,1041
500000,18
500100,12
500400,18
500500,18
500700,18
500800,18
500900,18
501000,18
501020,12
501021,12
501022,12
501023,12
502000,18
502010,18
502020,18
503000,18
504000,18
504020,18
504030,18
504200,18
504210,18
504250,18
504300,18
504400,18
504420,18
504500,18
504510,18
504520,18
504530,18
504600,18
504700,18
504701,18
504702,18
504703,18
504710,18
509995,12
509999,12
510000,18
510001,18
510002,18
510005,18
510006,29
510007,29
510008,18
510010,18
510011,23
510012,32
510013,18
510014,8
510015,30
510016,27
510017,18
510020,18
510025,18
510030,18
510050,18
510051,18
510052,18
510053,18
510054,18
510055,18
510056,29
510090,18
510100,18
510200,18
510300,18
510400,18
510401,18
510490,18
510500,18
510600,18
510620,18
510630,18
510640,29
510642,18
510700,18
510710,18
510715,18
510800,18
510900,18
519995,12
519999,12
520000,18
520010,18
520020,18
520200,18
520410,18
520460,18
520490,18
530000,18
530010,18
530020,18
531010,18
531030,18
532000,18
532010,18
533000,18
533010,18
533030,18
533040,18
533050,18
533100,18
533101,18
535000,18
535020,18
535250,18
535260,18
535300,18
535400,18
536000,18
536200,18
536300,18
536400,18
536500,18
536510,18
537000,18
537010,18
537100,11
538000,18
540000,12
540010,18
540011,18
540012,17
540013,17
540014,18
540015,17
540016,18
540017,18
540018,18
540019,18
540020,18
540021,18
540022,18
540023,18
540024,17
540025,18
540026,18
540027,17
540028,18
540029,18
540030,18
540031,18
540032,18
540050,17
540100,16
540110,17
540200,17
540210,17
540510,17
540540,18
540600,17
540700,18
542000,15
542001,2
542002,3
542010,21
542050,28
542051,1
542060,22
542071,24
542100,18
542250,18
542300,14
542317,18
542320,18
542321,18
542322,18
542323,18
542330,9
542350,21
542351,18
542355,21
542360,18
542400,18
542420,18
542500,18
542800,18
543000,18
543010,18
544000,18
544020,18
544070,18
544071,12
544072,18
544074,18
544075,13
544076,18
544077,18
544078,18
544092,12
544094,34
544095,35
544096,37
544120,18
544200,18
544210,18
544220,18
544230,18
544300,18
544302,33
549000,18
549030,18
549135,12
549140,18
549185,12
549993,12
549999,12
550010,4
550035,20
550200,18
560000,18
561000,18
562000,18
568031,5
568033,37
569500,18
575585,12
575589,12
575590,12
575591,12
575592,12
575593,12
575594,12
575595,12
575596,12
575597,12
575598,12
579800,12
579995,12
579999,12
580000,12
585000,12
586000,12
586020,12
586060,12
586070,12
586084,12
587000,12
587001,12
587005,12
587010,12
587015,6
587016,7
587070,18
587071,18
587100,12
587101,12
588200,12
589000,12
589001,12
589002,12
589004,12
589006,12
589010,12
589020,12
589030,12
589040,12
589050,12
589060,12
589064,12
589070,12
999999,12
