BLOCK_ACTION,PROJECT_STATUS,PROJECT_SUB_STATUS,BLOCK_TYPE,BLOCK_STATUS,BLOCK_COMPLETION,USER_ROLES,PROGRAMME_STATE,PERMISSIONS
APPROVE,Active,ApprovalRequested,ANY,UNAPPROVED,COMPLETE,OPS_ADMIN | GLA_ORG_ADMIN | GLA_SPM | GLA_PM,ANY,ANY
DELETE,Draft,ANY,ANY,UNAPPROVED,ANY,OPS_ADMIN | ORG_ADMIN | PROJECT_EDITOR,ANY,proj.edit.
DELETE,Active,UnapprovedChanges,ANY,UNAPPROVED,ANY,OPS_ADMIN | ORG_ADMIN | PROJECT_EDITOR,ANY,proj.edit.
EDIT,Base,ANY,ANY,ANY,ANY,ANY,OPEN,proj.edit.
EDIT,Draft,ANY,ANY,ANY,ANY,ANY,OPEN,proj.edit.
EDIT,Submitted,ANY,ANY,ANY,ANY,OPS_ADMIN,ANY,proj.edit.
EDIT,Returned,ANY,ANY,ANY,ANY,ANY,ANY,proj.edit.
EDIT,Assess,ANY,ANY,ANY,ANY,OPS_ADMIN,ANY,proj.edit.
EDIT,Assess,ANY,Milestones,ANY,ANY,ANY,ANY,proj.milestone.conditional.create
EDIT,Active,,ANY,UNAPPROVED,ANY,ANY,ANY,proj.edit.
EDIT,Active,,ANY,LAST_APPROVED,ANY,ANY,ANY,proj.edit.
EDIT,Active,UnapprovedChanges,ANY,UNAPPROVED,ANY,ANY,ANY,proj.edit.
EDIT,Active,UnapprovedChanges,ANY,LAST_APPROVED,ANY,ANY,ANY,proj.edit.
