STATUS_FROM,STATUS_TO,ROLES,PROGRAMME_STATE,COMMENTS_REQUIRED,PROJECT_COMPLETION,TRANSITION_TYPE,APPROVAL_WILL_CREATE_PAYMENTS,PROJECT_HISTORY_TRANSITION,PROJECT_HISTORY_DESCRIPTION,ACTION_NAME,NOTIFICATION_KEY,CLEAR_NEW_LABEL
Stage 1 (Draft),Closed (Abandoned),OPS_ADMIN | ORG_ADMIN | PROJECT_EDITOR,ALL,true,ANY,,ANY,,,,,
Stage 1 (Draft),Stage 1 (Submitted),"OPS_ADMIN | ORG_ADMIN | PROJECT_EDITOR",NOT_IN_ASSESS,false,COMPLETE,,ANY,,,SUBMIT PROJECT,,
Stage 1 (Submitted),Stage 1 (Draft),"ORG_ADMIN | PROJECT_EDITOR",NOT_IN_ASSESS,false,ANY,,ANY,Withdrawn,,WITHDRAW,,
Stage 1 (Submitted),Stage 1 (Draft),"OPS_ADMIN | GLA_ORG_ADMIN | GLA_SPM | GLA_PM",ALL,true,ANY,,ANY,Returned,,RETURN TO ORGANISATION,ProjectReturn,
Stage 1 (Submitted),Closed (Rejected),OPS_ADMIN | GLA_ORG_ADMIN | GLA_SPM,ALL,true,ANY,,ANY,,,REJECT PROJECT,,
Stage 1 (Submitted),Stage 2,OPS_ADMIN | GLA_ORG_ADMIN | GLA_SPM,ALL,false,ANY,APPROVAL,ANY,Approved,Stage 1 approved,APPROVE PROJECT, ApprovedForNextStage,true
Stage 2,Stage 2 (Draft),OPS_ADMIN | GLA_ORG_ADMIN | GLA_SPM | GLA_PM | ORG_ADMIN | PROJECT_EDITOR,ALL,false,ANY,EDIT,ANY,Amend,,,,
Stage 2,Stage 3 (Conditional Offer),OPS_ADMIN | GLA_ORG_ADMIN | GLA_SPM,ALL,false,ANY,APPROVAL,ANY,Approved,Stage 2 approved,APPROVE PROJECT, ApprovedForNextStage,true
Stage 2,Closed (Abandoned),OPS_ADMIN | ORG_ADMIN | PROJECT_EDITOR,ALL,true,ANY,,ANY,,,,,
Stage 2 (Draft),Stage 2,OPS_ADMIN | ORG_ADMIN | PROJECT_EDITOR,ALL,false,ANY,REVERT,ANY,DeletedUnapprovedChanges,,,,
Stage 2 (Draft),Closed (Abandoned),OPS_ADMIN | ORG_ADMIN | PROJECT_EDITOR,ALL,true,ANY,,ANY,,,,,
Stage 2 (Draft),Stage 2 (Submitted),"OPS_ADMIN | ORG_ADMIN | PROJECT_EDITOR",NOT_IN_ASSESS,false,COMPLETE,,ANY,,Submitted to stage 2,SUBMIT PROJECT,,
Stage 2 (Submitted),Stage 2 (Draft),"ORG_ADMIN | PROJECT_EDITOR",NOT_IN_ASSESS,false,ANY,,ANY,Withdrawn,,WITHDRAW,,
Stage 2 (Submitted),Stage 2 (Draft),"OPS_ADMIN | GLA_ORG_ADMIN | GLA_SPM | GLA_PM",ALL,true,ANY,,ANY,Returned,Returned to stage 2 draft,RETURN TO ORGANISATION,ProjectReturn,
Stage 2 (Submitted),Closed (Rejected),OPS_ADMIN | GLA_ORG_ADMIN | GLA_SPM,ALL,true,ANY,,ANY,,,REJECT PROJECT,,
Stage 2 (Submitted),Stage 3 (Conditional Offer),OPS_ADMIN | GLA_ORG_ADMIN | GLA_SPM,ALL,false,ANY,APPROVAL,ANY,Approved,Stage 2 approved,APPROVE PROJECT, ApprovedForNextStage,true
